Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
SUTLEJTEX,400,40.78,65.5,26200,9888,60.62,1.55
SUVEN-BE,200,43.23,108.9,21780,13135,151.94,-0.41
SWELECTES,10,255.6,746.05,7460.5,4904.5,191.88,-3.25
SWSOLAR,50,287,569.25,28462.5,14112.5,98.34,-0.7
SYMPHONY,50,872.71,936.55,46827.5,3191.85,7.31,-0.13
SYSTANGO-SM,400,236.05,334.2,133680,39260,41.58,3.98
TAJGVK,100,261.7,287.2,28720,2550,9.74,4.99
TAKE,700,13.05,30.95,21665,12530.65,137.18,9.95
TANAA,100,172,384.75,38475,21275,123.69,-1.64
TANLA,15,696.53,1007.7,15115.5,4667.5,44.67,-0.86
TARSONS,20,522.2,487.6,9752,-692,-6.63,-1
TATACHEM,30,925.75,997.75,29932.5,2160,7.78,-1.67
TATAMTRDVR,100,209.15,586.75,58675,37760,180.54,0.73
TATAPOWER,151,96.69,389.8,58859.8,44259.1,303.13,0.24
TECHNOE,100,274.25,764.3,76430,49005.4,178.69,-3.23
TEGA,25,559.25,1182.05,29551.25,15569.9,111.36,3.49
TERASOFT,200,37.06,63,12600,5188.3,70,-0.77
THEINVEST,200,137.83,156.05,31210,3644.2,13.22,-2.59
THOMASCOOK,147,67.6,180.3,26504.1,16566.9,166.72,-3.01
THYROCARE,10,779,624.55,6245.5,-1544.5,-19.83,1.37
TI,100,47.35,251.45,25145,20410,431.05,4.71
TIMETECHNO,302,55.82,169.55,51204.1,34346.5,203.74,-2.14
TINNARUBR,40,94.49,703.9,28156,24376.5,644.97,6.93
TITANBIO,100,198.6,498.15,49815,29955,150.83,0.86
TITANSEC,500,19.89,33.5,16750,6805.1,68.43,-0.83
TMB,125,524.55,498,62250,-3318.75,-5.06,-0.4
TNPETRO,500,70.75,104.6,52300,16925,47.84,2.8
TRACXN,400,109.39,103.45,41380,-2375,-5.43,3.4
TRIDENT,600,36.71,47.04,28224,6199.7,28.15,1.27
TRIGYN,601,90.32,158.65,95348.65,41066.85,75.65,2.35
TTKPRESTIG,15,716.07,777.65,11664.75,923.75,8.6,0.98
TTL,100,90.2,112,11200,2180,24.17,-1.67
TTML,150,37.9,92.4,13860,8175,143.8,1.71
TVSELECT,100,270.07,346.45,34645,7638.35,28.28,-0.83
TVSSRICHAK,10,1629,4400.05,44000.5,27710.5,170.11,0.38
UDAICEMENT,500,32.6,41.98,20990,4690,28.77,-1.27
UFLEX,23,548.07,458,10534,-2071.6,-16.43,0.34
UFO,100,87.25,163.95,16395,7670,87.91,3.28
UGROCAP,250,271.76,272.5,68125,185.3,0.27,-1.02
UJJIVANSFB,500,28.3,55.7,27850,13700,96.82,0.72
ULTRAMAR,100,328.24,391.6,39160,6335.7,19.3,-1.94
UMA-SM,4000,35,31,124000,-16000,-11.43,-0.96
UNIDT,230,213,284.4,65412,16422,33.52,-0.21
UNIONBANK,300,72.66,148.85,44655,22857.5,104.86,2.94
UNIPARTS,100,539.5,575.45,57545,3595,6.66,0.35
UNIVCABLES,100,200.49,504,50400,30350.65,151.38,0.72
VAIBHAVGBL,170,291.3,481,81770,32249.7,65.12,-2.11
VALIANTORG,65,534.94,479.5,31167.5,-3603.9,-10.36,-1.94
VARDHACRLC,140,56.7,65.4,9156,1218,15.34,2.91
VBL,25,822.84,1285.75,32143.75,11572.75,56.26,0.1
VENKEYS,20,1600.93,1968.05,39361,7342.5,22.93,-0.82
VERITAS,106,124.79,544.5,57717,44489.2,336.33,1.99
VETO,1,74.85,124.95,124.95,50.1,66.93,-0.75
VINYLINDIA,101,223,426.7,43096.7,20573.4,91.34,-1.17
VIPCLOTHNG,250,22.5,46.45,11612.5,5987.5,106.44,0.11
VISHNU,150,335.23,322.45,48367.5,-1916.95,-3.81,1.62
