Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
CSBBANK,121,252.14,392.75,47522.75,17013.3,55.76,1.49
CYIENT,14,2008.28,2109.75,29536.5,1420.6,5.05,8.8
DAMODARIND,201,39.65,64.99,13062.99,5092.79,63.9,6.73
DATAPATTNS,15,1210.84,1914.95,28724.25,10561.6,58.15,-1.42
DCBBANK,450,100.43,137.25,61762.5,16567.5,36.66,0
DECCANCE,85,398.98,628.55,53426.75,19513.4,57.54,1.95
DEEPAKSP,90,237.8,277.2,24948,3546,16.57,-0.73
DHAMPURE,1,39.9,92.19,92.19,52.29,131.05,-0.02
DIGIDRIVE-BE,10,135.53,64.7,647,-708.29,-52.26,2.86
DOLATALGO,200,48.5,82.8,16560,6860,70.72,-4.06
DWARKESH,164,94.88,84.5,13858,-1702.8,-10.94,0
DYNPRO,236,329.4,280.4,66174.4,-11562.95,-14.87,-2.35
EASEMYTRIP,410,36.45,49.35,20233.5,5288.7,35.39,5.07
ECORECO,100,106.21,427.9,42790,32168.6,302.87,1.99
EDELWEISS,250,42.68,68.1,17025,6354.94,59.56,-0.07
EIHOTEL,100,157.25,340.15,34015,18290,116.31,3.94
EKI,10,535,395.95,3959.5,-1390.5,-25.99,-2.05
ELDEHSG,20,539.35,802.35,16047,5260.05,48.76,0.06
ELGIEQUIP,80,316.74,606.6,48528,23188.65,91.51,-1.29
EMMBI,200,100.54,126.9,25380,5272.25,26.22,-2.35
EXIDEIND,100,150.9,343.35,34335,19245,127.53,2.74
FAZE3Q,50,315.67,451.9,22595,6811.7,43.16,1.47
FCL,1,78.9,327.85,327.85,248.95,315.53,-0.39
FERMENTA,50,204.9,161,8050,-2195,-21.43,0.91
FIEMIND,11,869.84,2367.7,26044.7,16476.5,172.2,-0.19
FOCUS,500,115.39,198.8,99400,41705,72.29,0.81
FORCEMOT,25,1039.58,3917.55,97938.75,71949.3,276.84,-3.12
FSL,63,107.23,199.75,12584.25,5828.55,86.28,-1.04
GALAXYSURF,15,2416.67,2622.65,39339.75,3089.75,8.52,-3.28
GANDHITUBE,50,797.7,798.5,39925,39.95,0.1,-0.86
GANESHBE,100,75.3,196.1,19610,12080,160.42,0.49
GHCL,40,388.34,580.45,23218,7684.42,49.47,-1.02
GHCLTEXTIL,40,205,87.4,3496,-4703.92,-57.37,2.64
GIPCL,100,230.2,219.1,21910,-1110,-4.82,-1.15
GLOBAL,200,311.93,306,61200,-1186,-1.9,0.58
GOKEX,200,187.96,934.35,186870,149277.65,397.1,2.77
GREAVESCOT,400,142.23,166.6,66640,9747.5,17.13,0.85
GREENPANEL,100,267.64,391.1,39110,12346.25,46.13,0.89
GRINFRA,40,948.99,1265.4,50616,12656.5,33.34,2.72
GROBTEA,10,899.95,973.35,9733.5,734,8.16,-0.18
GSFC,100,132.85,284.7,28470,15185,114.3,-1.47
GSTL,1000,20.06,25.32,25320,5260.2,26.22,0.44
GUFICBIO,100,222.41,344.9,34490,12249,55.07,0.72
GUJALKALI,7,506.94,792.9,5550.3,2001.7,56.41,-0.66
HIMTEK,275,96.13,175,48125,21690,82.05,-0.4
HEMIPROP,397,81.88,242.55,96292.35,63785.99,196.23,4.46
HERANBA,296,293.85,380.4,112598.4,25620.2,29.46,-0.35
HEROMOTOCO,13,2363.88,4717.3,61324.9,30594.5,99.56,2.85
HFCL,103,78.69,96.8,9970.4,1865.05,23.01,-6.43
HGINFRA,110,663.37,952.55,104780.5,31809.55,43.59,1.59
HGS,47,1047.19,958.85,45065.95,-4152.2,-8.44,-1.97
HINDOILEXP,340,171,183.15,62271,4129.65,7.1,-0.27
HINDWAREAP,51,386.21,470,23970,4273.4,21.7,0.62
HITECHGEAR,13,206,482.55,6273.15,3595.15,134.25,-0.01
HMVL,100,61.15,100.65,10065,3950.1,64.6,2.49
HOMEFIRST,130,720.82,980,127400,33693.15,35.96,-1
